269^ whole milk
222^ rolls/buns
186^ other vegetables
159^ soda
132^ bottled water
127^ yogurt
110^ root vegetables
97^ tropical fruit
95^ citrus fruit
89^ newspapers
78^ sausage
78^ pastry
78^ shopping bags
76^ coffee
76^ bottled beer
76^ canned beer
75^ curd
74^ whipped/sour cream
73^ frankfurter
69^ beef
67^ fruit/vegetable juice
56^ margarine
53^ pork
53^ domestic eggs
50^ brown bread
47^ berries
46^ frozen vegetables
46^ butter
45^ hygiene articles
44^ napkins
41^ sugar
41^ pip fruit
40^ cream cheese 
37^ hamburger meat
35^ salty snack
33^ beverages
33^ packaged fruit/vegetables
33^ chocolate
33^ onions
33^ white bread
32^ chicken
32^ dessert
30^ oil
28^ detergent
28^ sliced cheese
27^ butter milk
26^ long life bakery product
26^ UHT-milk
26^ misc. beverages
25^ specialty bar
25^ candy
24^ hard cheese
23^ ice cream
23^ grapes
22^ waffles
21^ ham
154^ whole milk,rolls/buns 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ whole milk,bottled water 
11^ other vegetables,bottled water 
11^ other vegetables,bottled water 
11^ other vegetables,bottled water 
11^ other vegetables,bottled water 
11^ other vegetables,bottled water 
11^ other vegetables,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
11^ rolls/buns,bottled water 
31^ rolls/buns,yogurt 
31^ bottled water,yogurt 
31^ bottled water,yogurt 
31^ bottled water,yogurt 
31^ bottled water,yogurt 
31^ bottled water,yogurt 
31^ bottled water,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ rolls/buns,yogurt 
31^ rolls/buns,yogurt 
31^ rolls/buns,yogurt 
31^ rolls/buns,yogurt 
31^ rolls/buns,yogurt 
31^ rolls/buns,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ other vegetables,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
31^ whole milk,yogurt 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ other vegetables,root vegetables 
4^ rolls/buns,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ yogurt,root vegetables 
4^ other vegetables,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ rolls/buns,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ yogurt,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ rolls/buns,root vegetables 
4^ rolls/buns,root vegetables 
4^ rolls/buns,root vegetables 
4^ rolls/buns,root vegetables 
4^ rolls/buns,root vegetables 
4^ rolls/buns,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ other vegetables,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
4^ whole milk,root vegetables 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ whole milk,tropical fruit 
1^ yogurt,tropical fruit 
1^ yogurt,tropical fruit 
1^ yogurt,tropical fruit 
1^ yogurt,tropical fruit 
1^ yogurt,tropical fruit 
1^ yogurt,tropical fruit 
1^ rolls/buns,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
1^ other vegetables,tropical fruit 
